ts,device_id,temp_c,rh_pct,tvoc_ppb,eco2_ppm,dust_ugm3
1763450445,esp32-01,27.79,69.5,480.0,745.0,0.0
1763450526,esp32-01,27.86,68.26,557.0,794.0,0.0
1763451165,esp32-01,28.4,69.12,178.0,598.0,0.0
1763451240,esp32-01,28.33,69.08,273.0,647.0,0.0
1763451280,esp32-01,28.26,69.46,368.0,695.0,0.0
1763451340,esp32-01,28.2,69.23,465.0,743.0,0.0
1763451400,esp32-01,28.12,69.54,564.0,794.0,0.0
1763451461,esp32-01,28.05,69.9,596.0,802.0,0.0
1763451526,esp32-01,27.97,69.4,698.0,851.0,0.0
1763451581,esp32-01,27.88,69.79,807.0,900.0,0.0
1763451659,esp32-01,27.82,69.49,912.0,946.0,0.0
1763451700,esp32-01,27.78,69.15,1027.0,990.0,0.0
1763452005,esp32-01,27.66,69.33,1215.0,1052.0,0.0
1763452060,esp32-01,27.63,69.42,1213.0,1052.0,0.0
1763452134,esp32-01,27.61,69.64,1223.0,1054.0,0.0
1763452185,esp32-01,27.59,69.37,1214.0,1052.0,0.0
1763452241,esp32-01,27.57,69.37,1202.0,1049.0,0.0
1763452313,esp32-01,27.55,70.37,1178.0,1044.0,0.0
1763452360,esp32-01,27.54,69.43,1167.0,1041.0,0.0
1763452425,esp32-01,27.52,69.7,1136.0,1034.0,0.0
1763452480,esp32-01,27.5,69.66,1097.0,1025.0,0.0
1763452541,esp32-01,27.49,69.87,1074.0,1019.0,0.0
1763452605,esp32-01,27.48,69.35,1048.0,1013.0,0.0
1763452684,esp32-01,27.46,69.72,1031.0,1009.0,0.0
1763452724,esp32-01,27.46,70.05,1005.0,1002.0,0.0
1763452781,esp32-01,27.45,69.83,986.0,998.0,0.0
1763452848,esp32-01,27.44,69.67,978.0,996.0,0.0
1763452906,esp32-01,27.42,69.78,967.0,993.0,0.0
1763452966,esp32-01,27.41,70.44,943.0,987.0,0.0
1763453020,esp32-01,27.41,69.45,929.0,984.0,0.0
1763453089,esp32-01,27.42,69.29,924.0,983.0,0.0
1763453140,esp32-01,27.42,69.4,922.0,982.0,0.0
1763453206,esp32-01,27.44,69.32,920.0,982.0,0.0
1763453269,esp32-01,27.47,69.0,917.0,981.0,0.0
1763453320,esp32-01,27.5,68.52,903.0,977.0,0.0
1763453384,esp32-01,27.53,68.75,819.0,932.0,0.0
1763453451,esp32-01,27.56,69.17,729.0,880.0,0.0
1763453504,esp32-01,27.6,69.12,699.0,873.0,0.0
1763453561,esp32-01,27.61,69.11,673.0,866.0,0.0
1763453650,esp32-01,27.61,69.59,663.0,863.0,0.0
1763453680,esp32-01,27.61,70.5,645.0,858.0,0.0
1763453742,esp32-01,27.61,70.45,617.0,851.0,0.0
1763453805,esp32-01,27.61,70.44,590.0,843.0,0.0
1763453864,esp32-01,27.59,70.91,577.0,840.0,0.0
1763453929,esp32-01,27.56,70.01,558.0,835.0,0.0
1763453984,esp32-01,27.54,70.47,610.0,872.0,0.0
1763454066,esp32-01,27.51,70.27,666.0,914.0,0.0
1763454101,esp32-01,27.48,70.37,664.0,913.0,0.0
1763454164,esp32-01,27.47,70.79,659.0,912.0,0.0
1763454224,esp32-01,27.47,70.42,654.0,911.0,0.0
1763454284,esp32-01,27.46,70.39,648.0,909.0,0.0
1763454341,esp32-01,27.46,70.3,649.0,909.0,0.0
1763454427,esp32-01,27.45,70.35,647.0,909.0,0.0
1763454464,esp32-01,27.44,70.6,635.0,906.0,0.0
1763454521,esp32-01,27.44,70.62,642.0,907.0,0.0
