ts,device_id,temp_c,rh_pct,tvoc_ppb,eco2_ppm,dust_ugm3
2025-11-18 07:20:45+00:00,esp32-01,27.79,69.5,480.0,745.0,0.0
2025-11-18 07:22:06+00:00,esp32-01,27.86,68.26,557.0,794.0,0.0
2025-11-18 07:32:45+00:00,esp32-01,28.4,69.12,178.0,598.0,0.0
2025-11-18 07:34:00+00:00,esp32-01,28.33,69.08,273.0,647.0,0.0
2025-11-18 07:34:40+00:00,esp32-01,28.26,69.46,368.0,695.0,0.0
2025-11-18 07:35:40+00:00,esp32-01,28.2,69.23,465.0,743.0,0.0
2025-11-18 07:36:40+00:00,esp32-01,28.12,69.54,564.0,794.0,0.0
2025-11-18 07:37:41+00:00,esp32-01,28.05,69.9,596.0,802.0,0.0
2025-11-18 07:38:46+00:00,esp32-01,27.97,69.4,698.0,851.0,0.0
2025-11-18 07:39:41+00:00,esp32-01,27.88,69.79,807.0,900.0,0.0
2025-11-18 07:40:59+00:00,esp32-01,27.82,69.49,912.0,946.0,0.0
2025-11-18 07:41:40+00:00,esp32-01,27.78,69.15,1027.0,990.0,0.0
2025-11-18 07:46:45+00:00,esp32-01,27.66,69.33,1215.0,1052.0,0.0
2025-11-18 07:47:40+00:00,esp32-01,27.63,69.42,1213.0,1052.0,0.0
2025-11-18 07:48:54+00:00,esp32-01,27.61,69.64,1223.0,1054.0,0.0
2025-11-18 07:49:45+00:00,esp32-01,27.59,69.37,1214.0,1052.0,0.0
2025-11-18 07:50:41+00:00,esp32-01,27.57,69.37,1202.0,1049.0,0.0
2025-11-18 07:51:53+00:00,esp32-01,27.55,70.37,1178.0,1044.0,0.0
2025-11-18 07:52:40+00:00,esp32-01,27.54,69.43,1167.0,1041.0,0.0
2025-11-18 07:53:45+00:00,esp32-01,27.52,69.7,1136.0,1034.0,0.0
2025-11-18 07:54:40+00:00,esp32-01,27.5,69.66,1097.0,1025.0,0.0
2025-11-18 07:55:41+00:00,esp32-01,27.49,69.87,1074.0,1019.0,0.0
2025-11-18 07:56:45+00:00,esp32-01,27.48,69.35,1048.0,1013.0,0.0
2025-11-18 07:58:04+00:00,esp32-01,27.46,69.72,1031.0,1009.0,0.0
2025-11-18 07:58:44+00:00,esp32-01,27.46,70.05,1005.0,1002.0,0.0
2025-11-18 07:59:41+00:00,esp32-01,27.45,69.83,986.0,998.0,0.0
2025-11-18 08:00:48+00:00,esp32-01,27.44,69.67,978.0,996.0,0.0
2025-11-18 08:01:46+00:00,esp32-01,27.42,69.78,967.0,993.0,0.0
2025-11-18 08:02:46+00:00,esp32-01,27.41,70.44,943.0,987.0,0.0
2025-11-18 08:03:40+00:00,esp32-01,27.41,69.45,929.0,984.0,0.0
2025-11-18 08:04:49+00:00,esp32-01,27.42,69.29,924.0,983.0,0.0
2025-11-18 08:05:40+00:00,esp32-01,27.42,69.4,922.0,982.0,0.0
2025-11-18 08:06:46+00:00,esp32-01,27.44,69.32,920.0,982.0,0.0
2025-11-18 08:07:49+00:00,esp32-01,27.47,69.0,917.0,981.0,0.0
2025-11-18 08:08:40+00:00,esp32-01,27.5,68.52,903.0,977.0,0.0
2025-11-18 08:09:44+00:00,esp32-01,27.53,68.75,819.0,932.0,0.0
2025-11-18 08:10:51+00:00,esp32-01,27.56,69.17,729.0,880.0,0.0
2025-11-18 08:11:44+00:00,esp32-01,27.6,69.12,699.0,873.0,0.0
2025-11-18 08:12:41+00:00,esp32-01,27.61,69.11,673.0,866.0,0.0
2025-11-18 08:14:10+00:00,esp32-01,27.61,69.59,663.0,863.0,0.0
2025-11-18 08:14:40+00:00,esp32-01,27.61,70.5,645.0,858.0,0.0
2025-11-18 08:15:42+00:00,esp32-01,27.61,70.45,617.0,851.0,0.0
2025-11-18 08:16:45+00:00,esp32-01,27.61,70.44,590.0,843.0,0.0
2025-11-18 08:17:44+00:00,esp32-01,27.59,70.91,577.0,840.0,0.0
2025-11-18 08:18:49+00:00,esp32-01,27.56,70.01,558.0,835.0,0.0
2025-11-18 08:19:44+00:00,esp32-01,27.54,70.47,610.0,872.0,0.0
2025-11-18 08:21:06+00:00,esp32-01,27.51,70.27,666.0,914.0,0.0
2025-11-18 08:21:41+00:00,esp32-01,27.48,70.37,664.0,913.0,0.0
2025-11-18 08:22:44+00:00,esp32-01,27.47,70.79,659.0,912.0,0.0
2025-11-18 08:23:44+00:00,esp32-01,27.47,70.42,654.0,911.0,0.0
2025-11-18 08:24:44+00:00,esp32-01,27.46,70.39,648.0,909.0,0.0
2025-11-18 08:25:41+00:00,esp32-01,27.46,70.3,649.0,909.0,0.0
2025-11-18 08:27:07+00:00,esp32-01,27.45,70.35,647.0,909.0,0.0
2025-11-18 08:27:44+00:00,esp32-01,27.44,70.6,635.0,906.0,0.0
2025-11-18 08:28:41+00:00,esp32-01,27.44,70.62,642.0,907.0,0.0
2025-11-18 08:29:44+00:00,esp32-01,27.44,70.43,664.0,913.0,0.0
2025-11-18 08:30:40+00:00,esp32-01,27.44,70.43,675.0,917.0,0.0
2025-11-18 08:31:41+00:00,esp32-01,27.44,70.55,695.0,922.0,0.0
2025-11-18 08:32:45+00:00,esp32-01,27.43,70.63,699.0,923.0,0.0
2025-11-18 08:33:49+00:00,esp32-01,27.41,70.81,702.0,924.0,0.0
2025-11-18 08:34:42+00:00,esp32-01,27.4,70.84,708.0,926.0,0.0
2025-11-18 08:35:44+00:00,esp32-01,27.37,70.8,707.0,925.0,0.0
2025-11-18 08:37:06+00:00,esp32-01,27.35,70.97,717.0,928.0,0.0
2025-11-18 08:37:47+00:00,esp32-01,27.33,70.66,716.0,928.0,0.0
2025-11-18 08:39:06+00:00,esp32-01,27.31,70.69,734.0,933.0,0.0
2025-11-18 08:39:40+00:00,esp32-01,27.28,70.83,724.0,930.0,0.0
2025-11-18 08:40:47+00:00,esp32-01,27.26,70.66,713.0,927.0,0.0
2025-11-18 08:41:40+00:00,esp32-01,27.25,70.86,695.0,922.0,0.0
2025-11-18 08:42:49+00:00,esp32-01,27.25,70.66,693.0,922.0,0.0
2025-11-18 08:43:50+00:00,esp32-01,27.24,70.51,688.0,920.0,0.0
2025-11-18 08:44:44+00:00,esp32-01,27.25,70.96,684.0,919.0,0.0
2025-11-18 08:45:42+00:00,esp32-01,27.26,70.19,677.0,917.0,0.0
2025-11-18 08:46:44+00:00,esp32-01,27.27,70.67,661.0,912.0,0.0
2025-11-18 08:47:52+00:00,esp32-01,27.27,70.3,650.0,909.0,0.0
2025-11-18 08:48:41+00:00,esp32-01,27.26,70.67,618.0,900.0,0.0
2025-11-18 08:49:40+00:00,esp32-01,27.26,70.47,602.0,896.0,0.0
2025-11-18 08:50:41+00:00,esp32-01,27.26,70.19,588.0,892.0,0.0
