ts,temp_c,rh_pct,tvoc_ppb,eco2_ppm,dust_ugm3,device_id
2025-11-18 14:20:00+07:00,27.79,69.5,480,745,0,esp32-01
2025-11-18 14:21:00+07:00,27.825,68.88,518.5,769.5,0,esp32-01
2025-11-18 14:22:00+07:00,27.86,68.26,557,794,0,esp32-01
2025-11-18 14:23:00+07:00,27.914,68.346,519.1,774.4,0,esp32-01
2025-11-18 14:24:00+07:00,27.968,68.432,481.2,754.8,0,esp32-01
2025-11-18 14:25:00+07:00,28.022,68.518,443.3,735.2,0,esp32-01
2025-11-18 14:26:00+07:00,28.076,68.604,405.4,715.6,0,esp32-01
2025-11-18 14:27:00+07:00,28.13,68.69,367.5,696,0,esp32-01
2025-11-18 14:28:00+07:00,28.184,68.776,329.6,676.4,0,esp32-01
2025-11-18 14:29:00+07:00,28.238,68.862,291.7,656.8,0,esp32-01
2025-11-18 14:30:00+07:00,28.292,68.948,253.8,637.2,0,esp32-01
2025-11-18 14:31:00+07:00,28.346,69.034,215.9,617.6,0,esp32-01
2025-11-18 14:32:00+07:00,28.4,69.12,178,598,0,esp32-01
2025-11-18 14:33:00+07:00,28.3475,69.195,249.25,634.5,0,esp32-01
2025-11-18 14:34:00+07:00,28.295,69.27,320.5,671,0,esp32-01
2025-11-18 14:35:00+07:00,28.2,69.23,465,743,0,esp32-01
2025-11-18 14:36:00+07:00,28.12,69.54,564,794,0,esp32-01
2025-11-18 14:37:00+07:00,28.05,69.9,596,802,0,esp32-01
2025-11-18 14:38:00+07:00,27.97,69.4,698,851,0,esp32-01
2025-11-18 14:39:00+07:00,27.88,69.79,807,900,0,esp32-01
2025-11-18 14:40:00+07:00,27.82,69.49,912,946,0,esp32-01
2025-11-18 14:41:00+07:00,27.78,69.15,1027,990,0,esp32-01
2025-11-18 14:42:00+07:00,27.756,69.186,1064.6,1002.4,0,esp32-01
2025-11-18 14:43:00+07:00,27.732,69.222,1102.2,1014.8,0,esp32-01
2025-11-18 14:44:00+07:00,27.708,69.258,1139.8,1027.2,0,esp32-01
2025-11-18 14:45:00+07:00,27.684,69.294,1177.4,1039.6,0,esp32-01
2025-11-18 14:46:00+07:00,27.66,69.33,1215,1052,0,esp32-01
2025-11-18 14:47:00+07:00,27.63,69.42,1213,1052,0,esp32-01
2025-11-18 14:48:00+07:00,27.61,69.64,1223,1054,0,esp32-01
2025-11-18 14:49:00+07:00,27.59,69.37,1214,1052,0,esp32-01
2025-11-18 14:50:00+07:00,27.57,69.37,1202,1049,0,esp32-01
2025-11-18 14:51:00+07:00,27.55,70.37,1178,1044,0,esp32-01
2025-11-18 14:52:00+07:00,27.54,69.43,1167,1041,0,esp32-01
2025-11-18 14:53:00+07:00,27.52,69.7,1136,1034,0,esp32-01
2025-11-18 14:54:00+07:00,27.5,69.66,1097,1025,0,esp32-01
2025-11-18 14:55:00+07:00,27.49,69.87,1074,1019,0,esp32-01
2025-11-18 14:56:00+07:00,27.48,69.35,1048,1013,0,esp32-01
2025-11-18 14:57:00+07:00,27.47,69.6175,1033,1009.25,0,esp32-01
2025-11-18 14:58:00+07:00,27.46,69.885,1018,1005.5,0,esp32-01
2025-11-18 14:59:00+07:00,27.45,69.83,986,998,0,esp32-01
2025-11-18 15:00:00+07:00,27.44,69.67,978,996,0,esp32-01
2025-11-18 15:01:00+07:00,27.42,69.78,967,993,0,esp32-01
2025-11-18 15:02:00+07:00,27.41,70.44,943,987,0,esp32-01
2025-11-18 15:03:00+07:00,27.41,69.45,929,984,0,esp32-01
2025-11-18 15:04:00+07:00,27.42,69.29,924,983,0,esp32-01
2025-11-18 15:05:00+07:00,27.42,69.4,922,982,0,esp32-01
2025-11-18 15:06:00+07:00,27.44,69.32,920,982,0,esp32-01
2025-11-18 15:07:00+07:00,27.47,69,917,981,0,esp32-01
2025-11-18 15:08:00+07:00,27.5,68.52,903,977,0,esp32-01
2025-11-18 15:09:00+07:00,27.53,68.75,819,932,0,esp32-01
2025-11-18 15:10:00+07:00,27.56,69.17,729,880,0,esp32-01
2025-11-18 15:11:00+07:00,27.6,69.12,699,873,0,esp32-01
2025-11-18 15:12:00+07:00,27.61,69.11,673,866,0,esp32-01
2025-11-18 15:13:00+07:00,27.61,69.5775,663.5,863.25,0,esp32-01
2025-11-18 15:14:00+07:00,27.61,70.045,654,860.5,0,esp32-01
2025-11-18 15:15:00+07:00,27.61,70.45,617,851,0,esp32-01
2025-11-18 15:16:00+07:00,27.61,70.44,590,843,0,esp32-01
2025-11-18 15:17:00+07:00,27.59,70.91,577,840,0,esp32-01
2025-11-18 15:18:00+07:00,27.56,70.01,558,835,0,esp32-01
2025-11-18 15:19:00+07:00,27.54,70.47,610,872,0,esp32-01
2025-11-18 15:20:00+07:00,27.5175,70.395,637.5,892.75,0,esp32-01
2025-11-18 15:21:00+07:00,27.495,70.32,665,913.5,0,esp32-01
2025-11-18 15:22:00+07:00,27.47,70.79,659,912,0,esp32-01
2025-11-18 15:23:00+07:00,27.47,70.42,654,911,0,esp32-01
2025-11-18 15:24:00+07:00,27.46,70.39,648,909,0,esp32-01
2025-11-18 15:25:00+07:00,27.46,70.3,649,909,0,esp32-01
2025-11-18 15:26:00+07:00,27.4525,70.3875,645,908.25,0,esp32-01
2025-11-18 15:27:00+07:00,27.445,70.475,641,907.5,0,esp32-01
2025-11-18 15:28:00+07:00,27.44,70.62,642,907,0,esp32-01
2025-11-18 15:29:00+07:00,27.44,70.43,664,913,0,esp32-01
2025-11-18 15:30:00+07:00,27.44,70.43,675,917,0,esp32-01
2025-11-18 15:31:00+07:00,27.44,70.55,695,922,0,esp32-01
2025-11-18 15:32:00+07:00,27.43,70.63,699,923,0,esp32-01
2025-11-18 15:33:00+07:00,27.41,70.81,702,924,0,esp32-01
2025-11-18 15:34:00+07:00,27.4,70.84,708,926,0,esp32-01
2025-11-18 15:35:00+07:00,27.37,70.8,707,925,0,esp32-01
2025-11-18 15:36:00+07:00,27.355,70.8075,711.75,926.5,0,esp32-01
2025-11-18 15:37:00+07:00,27.34,70.815,716.5,928,0,esp32-01
2025-11-18 15:38:00+07:00,27.3175,70.7875,722.75,929.75,0,esp32-01
2025-11-18 15:39:00+07:00,27.295,70.76,729,931.5,0,esp32-01
2025-11-18 15:40:00+07:00,27.26,70.66,713,927,0,esp32-01
2025-11-18 15:41:00+07:00,27.25,70.86,695,922,0,esp32-01
2025-11-18 15:42:00+07:00,27.25,70.66,693,922,0,esp32-01
2025-11-18 15:43:00+07:00,27.24,70.51,688,920,0,esp32-01
2025-11-18 15:44:00+07:00,27.25,70.96,684,919,0,esp32-01
2025-11-18 15:45:00+07:00,27.26,70.19,677,917,0,esp32-01
2025-11-18 15:46:00+07:00,27.27,70.67,661,912,0,esp32-01
2025-11-18 15:47:00+07:00,27.27,70.3,650,909,0,esp32-01
2025-11-18 15:48:00+07:00,27.26,70.67,618,900,0,esp32-01
2025-11-18 15:49:00+07:00,27.26,70.47,602,896,0,esp32-01
2025-11-18 15:50:00+07:00,27.26,70.19,588,892,0,esp32-01
2025-11-18 15:51:00+07:00,27.25,70.47,570,886,0,esp32-01
2025-11-18 15:52:00+07:00,27.24,69.87,555,882,0,esp32-01
